Name,MeasureCode,ConstructionCost,MaintenanceCost,StorageCapacity,GroundwaterRecharge,Evapotranspiration,TempReduction,NutrientReduction,PathogenReduction,AdsorbingPollutants,CoolSpot,FMeasureArea
Placeholder,1,-1.0,-1.0,0,0,0,0,0,0,0,0,0
scenario0_control-(no-changes).json,-,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
