Name,MeasureCode,ConstructionCost,MaintenanceCost,StorageCapacity,GroundwaterRecharge,Evapotranspiration,TempReduction,NutrientReduction,PathogenReduction,AdsorbingPollutants,CoolSpot,FMeasureArea
Green Roof Townhouses,15,141002.02857145935,43475.6254714999,10.479613681055321,0.00572313087876101,44.869346089486314,1.6310923004468876,-11.44626175752202,51.508177908849085,51.508177908849085,0,365.809109231742
Add Permeable Driveway,26,69275.18070727403,732.7182576939374,24.753364942490023,5.274847571821023,1.3031658275846913,0,21.629308341654628,24.332971884361456,24.332971884361456,0,194.04200993365953
Added Lawn,91,2452.6314592787253,89.2757851177456,6.080904444492707,20.60024412641256,64.2484614982044,0.25238885633340125,7.084599476025298,7.970174410528459,7.970174410528459,0,107.38220165913363
Yard Removed for Construction,91,0,0,-39.06213841345574,-132.33057594675563,-412.71529898276674,-1.6212799477613857,-45.50961256874066,-51.198314139833236,-51.198314139833236,0,689.7951550857864
scenario3_high-density-with-GI.json,-,212729.84074,44297.61951,2.25174,-106.44976,-302.29433,0.2622,-28.24197,32.61301,32.61301,0.0,1357.02848
