Name,MeasureCode,ConstructionCost,MaintenanceCost,StorageCapacity,GroundwaterRecharge,Evapotranspiration,TempReduction,NutrientReduction,PathogenReduction,AdsorbingPollutants,CoolSpot,FMeasureArea
House Green Roof,15,30788.496389310945,9493.119719011258,2.2882759294276864,0.0012496741797369704,9.79744556913785,0.35615714122503656,-2.499348359473941,11.247067617632734,11.247067617632734,0,79.87624400063605
Permeable Pavement Driveway,26,106195.49151320421,1123.2215451779537,37.94570768109779,9.703302536250709,2.3972279971670125,0,33.156680458741526,37.30126551608422,37.30126551608422,0,356.94838599448906
Rain Garden,6,8812.877554159944,88.12877554159944,37.38796538128461,32.26679652884858,0.39669899908908035,0.3325271021776115,0,0,0,0,1184.1971669042205
scenario1_single-home-with-GI.json,-,145796.86546,10704.47004,77.62195,41.97135,12.59137,0.68868,30.65733,48.54833,48.54833,0.0,1621.0218
